id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46485666,"Kasa | ATX 1BD, Lady Bird Lake | Austin",88566861,Kasa,,78701,30.26391,-97.74114,Entire home/apt,227,1,299,2024-12-06,6.06,9,288,99,
46489768,South Congress home w/ backyard paradise!,238970527,Savannah,,78745,30.20506,-97.77863,Entire home/apt,94,2,80,2024-11-25,1.64,1,171,13,
46490468,Trendy Townhome in SOCO-Gr8 location-shop-fun&fam,215069225,Alexander,,78704,30.22656,-97.75586,Entire home/apt,60,2,210,2024-12-02,4.31,1,156,49,
46513674,Modern Train Depot Farmhouse: Private 1 acre oasis,140140159,Melisa,,78727,30.41956,-97.73796,Entire home/apt,259,2,181,2024-11-29,3.67,1,71,18,
46528916,Rock Way Getaway,376301532,Linda,,78736,30.23223,-97.93317,Entire home/apt,500,7,66,2024-02-18,1.34,2,90,7,
46529406,Downtown Cozy & Elegant Hideout,24328993,Matt,,78701,30.27975,-97.74538,Entire home/apt,89,2,157,2024-12-07,3.18,5,355,25,
46564788,Mueller Summer Home for Families & Remote Workers,64051329,Sara,,78723,30.29574,-97.70189,Entire home/apt,,90,5,2024-07-11,0.12,1,0,1,
46565036,Delightful + Exquisite Loft on 6th Street - Walk Downtown,88769927,Jason,,78702,30.26497,-97.73209,Entire home/apt,79,1,414,2024-12-11,8.37,17,336,107,
46570042,East Side Comfort,99701725,Matt,,78702,30.27739,-97.71368,Private room,140,1,2,2022-10-24,0.05,1,347,0,
46580900,Platinum in the Hill Country 25m to Airport,5341252,Peter,,78737,30.19478,-97.9969,Private room,107,1,52,2024-11-17,1.09,2,88,9,
46584997,South Austin House,72182681,Nick,,78747,30.13864,-97.76507,Private room,,30,3,2021-05-04,0.06,1,0,0,
46601193,"2bd/2ba, Near St. David's MC, Airport, Great Spot!",87608692,Kenton,,78744,30.19159,-97.74085,Entire home/apt,,30,21,2024-11-04,0.99,2,0,13,
46625449,Cute East Austin Modern Farmhouse,6724024,Vincent,,78702,30.26343,-97.71096,Entire home/apt,,30,6,2024-09-29,0.14,2,0,2,
46638773,"Bright, comfy and centrally located 1br apartment",1227048,Morgan,,78741,30.24072,-97.72139,Entire home/apt,,3,15,2022-08-16,0.31,1,0,0,
46647163,"Sunny Hyde Park Cottage, minutes from DT Austin!",33945801,Julia,,78751,30.30087,-97.71737,Entire home/apt,113,3,88,2024-10-28,1.83,1,6,23,
46683288,"SoCo Retreat, Steps to South Congress, 2 BD, 2 BTH",25490737,Jerry And Kathy,,78704,30.24871,-97.75106,Entire home/apt,204,2,102,2024-12-07,2.11,1,303,14,
46693455,3bdrm/2ba entire home w/fenced backyard,35569603,Emlyn,,78745,30.1899,-97.78735,Entire home/apt,150,3,13,2024-10-21,0.27,1,322,3,
46693559,East Austin New Build,261199418,Ana,,78702,30.26004,-97.69675,Entire home/apt,,2,3,2021-05-30,0.07,1,0,0,
46694007,So Austin Gem w/Pool & Guesthouse (rents together),2273418,Carol & Vance,,78745,30.20143,-97.80751,Entire home/apt,,4,7,2023-03-18,0.17,2,0,0,
46696518,"Elegant, enticing expanse w/ pool, gym, coffee bar",367670680,Martin,,78704,30.23716,-97.75633,Private room,246,2,38,2024-11-28,0.79,18,117,20,
46711005,Kenwood Kottage 3/2 in Austin’s uber trendy 78704!,346286485,Kohji,,78704,30.23878,-97.7449,Entire home/apt,126,30,25,2024-11-05,0.53,2,28,4,
46711926,Cozy Backyard Tiny House,19868823,Daniel,,78721,30.27235,-97.68016,Entire home/apt,72,2,61,2024-10-27,1.84,1,33,16,
46726317,Economical Eastside Studio near airport & downtown,36075426,Colleen,,78721,30.25652,-97.6853,Entire home/apt,61,1,194,2024-11-29,3.98,23,82,74,
46730105,Modern 3BR | Patio | Firepit | W/D,109638288,Vacasa Texas,,78704,30.2472,-97.75237,Entire home/apt,474,2,109,2024-11-10,2.26,53,352,22,
46748589,Goldilocks said it perfect - It's JUST RIGHT!,111612422,John,,78729,30.45668,-97.75343,Entire home/apt,130,7,14,2024-11-09,0.32,2,113,7,
46751993,"Extended Stay Cottage near trails, Q2, Domain",43508250,Tara,,78753,30.3826,-97.65932,Entire home/apt,169,30,13,2024-10-06,0.32,1,179,2,
46768252,"Beautiful, safe and cozy home nestled in nature.",141326117,Denisha,,78732,30.37327,-97.89022,Private room,38,15,6,2022-04-29,0.13,1,365,0,
46779967,Spacious Private Room 15 min to Downtown/COTA,182825787,Maryalice,,78744,30.17567,-97.75425,Private room,45,2,69,2024-11-06,1.41,1,348,19,
46791390,7 Bedroom Luxury Lake Austin Estate,378113964,Crystal,,78734,30.38796,-97.91653,Entire home/apt,800,2,24,2024-06-29,0.51,1,363,3,
46794896,Greenbelt View/Westlake/mins to Downtown/Priv Bath,299606671,Dina,,78746,30.26185,-97.79925,Private room,55,7,9,2024-10-07,0.19,25,364,4,
46817868,Home comfort & space meets Hotel charm & service,367670680,Martin,,78704,30.23867,-97.7543,Entire home/apt,,3,16,2024-08-11,0.33,18,0,8,
46820079,Chic Downtown Loft Just Steps Off 6th Street,88769927,Jason,,78702,30.26489,-97.73208,Entire home/apt,89,1,333,2024-12-13,6.79,17,333,77,
46849423,Barton Springs/Zilker Park Room-mins To Downtown,299606671,Dina,,78746,30.26402,-97.79896,Private room,55,10,2,2024-06-14,0.09,25,365,1,
46849494,31F Luxury Rainey St Penthouse w rooftop pool,170633892,Olivia,,78701,30.260273696025838,-97.73983378337415,Entire home/apt,256,2,63,2024-11-26,3.83,3,29,41,
46849901,Work From Home - North East Austin,299606671,Dina,,78754,30.35997,-97.63833,Private room,35,10,4,2022-03-31,0.08,25,365,0,
46857102,Perfect getaway,214724239,Edgard,,78758,30.40512010175107,-97.72027138462761,Entire home/apt,189,3,63,2024-11-30,1.29,2,77,18,
46864527,MCM East ATX Ranch: outdoor shower + cowboy pool!,19622728,Devon,,78702,30.27204,-97.71199,Entire home/apt,350,2,19,2024-09-02,0.56,1,306,4,
46869829,Glass Tower Retreat - The Gala of Lady Bird Lake,181159894,David,,78702,30.25483016831052,-97.73546613613767,Entire home/apt,125,1,0,,,6,337,0,
46873666,Studio Suite with King Bed on South Congress,367670680,Martin,,78704,30.237492,-97.755196,Entire home/apt,,3,22,2024-04-27,0.45,18,0,2,
46875540,2 Blks from 6th St Sept 27 & 28th UT vs Miss St,180703634,Ellery,,78701,30.27046,-97.74811,Entire home/apt,,2,5,2024-09-29,0.12,1,0,2,
46876625,The FROG: Chic 2 bed/1 bath guest house w/ parking,16446286,Jenny,,78703,30.28512,-97.75863,Entire home/apt,259,2,43,2024-11-01,1.56,2,313,9,
46877991,"South Congress, Pool Table, King Beds | Portoro",367565136,Portoro,,78745,30.206661224365234,-97.7690658569336,Entire home/apt,182,2,71,2024-10-21,1.67,15,343,9,
46888596,2 bedroom East Austin- near the UT stadium,281887,Disney,,78702,30.27478574813384,-97.72596935277917,Entire home/apt,128,31,44,2024-05-12,0.99,1,164,7,
46893307,"Perfect family or corporate! Downtown, UT, Domain",179457829,Galka,,78744,30.19894,-97.75687,Entire home/apt,433,30,12,2021-09-10,0.25,5,358,0,
46893389,East Austin - Walk to Downtown and Rainey St,7556778,Neighbor,,78702,30.25426,-97.72918,Entire home/apt,,2,0,,,2,0,0,
46893627,"Spacious Austin Home - Min from COTA, Tesla & ATX",3086224,Fiona,,78725,30.21507,-97.63669,Entire home/apt,116,2,84,2024-12-09,1.75,1,14,10,
46894094,Modern 2-Story House in East Austin,26109402,Shira,,78724,30.29261,-97.6437,Entire home/apt,105,2,12,2022-03-13,0.29,1,31,0,
46919733,Urban Escape in SoLA w/ Private Patio!,124060715,Evolve,,78704,30.24635823961767,-97.77609396759367,Entire home/apt,178,2,54,2024-11-24,1.11,33,352,16,
46949473,East Side Bungalow - 3 Bedroom|Large Backyard,114422088,Franklin,,78721,30.26749,-97.67972,Entire home/apt,138,2,60,2024-10-21,1.24,45,365,6,
46951327,"Austin private 2 rooms, bathroom, living",56277017,Marion,,78741,30.24158,-97.69327,Private room,150,2,67,2024-10-20,1.46,1,80,13,
46951737,"Smart 5 Star accommodations in 3B2B,5 mi to Domain",123027083,Lydia,,78728,30.44501,-97.68012,Entire home/apt,129,2,137,2024-11-30,4.25,2,280,53,
46967508,"B50 Cozy Studio 2nd Flr | 1 Queen Bed, Pool & Gym",431573148,Centro Studio Homes,,78752,30.3299,-97.70239,Entire home/apt,58,1,37,2024-11-03,0.77,30,80,8,
46968036,"B52 Cozy Studio 2nd Flr | 1 Queen Bed, Pool & Gym",431573148,Centro Studio Homes,,78752,30.32849,-97.70405,Entire home/apt,57,1,50,2024-11-04,1.03,30,89,11,
46970281,"Downtown E. Austin, comfy+modern Studio",231866454,Ender,,78702,30.254482211940143,-97.71609077721368,Entire home/apt,99,1,262,2024-11-22,5.40,4,74,40,
46988834,Remodeled Condo in Burnet Road District,12399486,Julie,,78756,30.32386,-97.73925,Entire home/apt,100,90,0,,,10,43,0,
46992125,Zilker Park/Barton Springs Duplex mins downtown,299606671,Dina,,78746,30.26745,-97.80421,Entire home/apt,165,30,8,2021-07-12,0.17,25,228,0,
46999285,Casa Kaa - Bouldin Creek,48205630,Gregory,,78704,30.24902,-97.76322,Entire home/apt,,1,69,2023-09-10,1.65,1,0,0,
47027650,"B44 Cozy Studio 2nd Flr | 1 Queen Bed, Pool & Gym",431573148,Centro Studio Homes,,78752,30.32873,-97.70464,Entire home/apt,78,1,48,2024-10-28,1.00,30,88,7,
47027775,"B46 Cozy Studio 2nd Flr | 1 Queen Bed, Pool & Gym",431573148,Centro Studio Homes,,78752,30.32833,-97.7024,Entire home/apt,78,1,46,2024-09-22,0.96,30,77,9,
47031543,Secluded Ridge Cabin at White Branch near Austin,349890362,John,,78736,30.24643,-97.97829,Entire home/apt,170,1,205,2024-08-12,4.24,2,313,15,
47050556,"B54 Cozy Studio 2nd Flr | 1 Queen Bed, Pool & Gym",431573148,Centro Studio Homes,,78752,30.32823,-97.70324,Entire home/apt,,1,28,2024-11-09,0.59,30,1,8,
47051983,Cozy and Private Guest House in Central Austin,120252115,Azucena,,78731,30.32205,-97.75285,Entire home/apt,73,2,121,2024-12-08,2.49,1,53,28,
47073997,2x Extraordinary Lofts Overlooking Downtown,88769927,Jason,,78702,30.2654,-97.73196,Entire home/apt,168,1,53,2024-11-07,1.15,17,326,10,
47074377,Rooftop Deck with Skyline Views,9796520,Preston,,78741,30.24446,-97.73221,Entire home/apt,340,3,80,2024-10-06,1.80,5,341,22,
47076963,Downtown SOCO Loft- Walkable,42423432,Thomas Donald,,78704,30.25333,-97.74695,Entire home/apt,85,2,154,2024-11-17,3.19,1,37,13,
47100883,Close to Downtown — The Cozy Bungalow,10152231,Coleman,,78702,30.26462171973364,-97.71226693397979,Entire home/apt,111,1,178,2024-11-14,5.30,5,167,40,
47115195,6 Bedroom | Sleep 20 | Pool | Hot Tub | Pool Table,302142399,Brian,,78737,30.20252,-97.98785,Entire home/apt,505,3,76,2024-10-27,1.58,6,258,13,
47122874,Corporate Housing/Short Term Rental,380741685,Chriselda,,78723,30.31463,-97.68276,Entire home/apt,115,30,6,2024-08-09,0.14,1,161,2,
47136944,Downtown Austin-1BR Suite w/ pool & fire pit,73406332,Michael,,78701,30.27077,-97.7486,Entire home/apt,,3,6,2023-10-01,0.14,2,0,0,
47137713,Downtown Austin-2BR with roof top pool & fire pit,73406332,Michael,,78701,30.27111,-97.74645,Entire home/apt,,7,4,2023-09-10,0.09,2,0,0,
47153913,Luxury Rental in Austin's Trendy East Side!,106649223,The Bindel,,78702,30.26061,-97.72061,Entire home/apt,132,2,3,2024-02-18,0.07,18,157,2,
47154632,Modern & Cozy Home East Austin Rainey St 6th Lake,7916294,Caroline,,78702,30.2581387,-97.7296371,Entire home/apt,157,1,133,2024-11-24,3.03,1,152,45,
47156486,"Charming, Cozy Tiny Gem w/ Hot Tub + Trail Access!",34537451,Jacob,,78721,30.26055,-97.68595,Entire home/apt,77,2,182,2024-11-30,3.83,9,238,48,
47196825,DOWNTOWN AUSTIN HOUSE-2 BLOCKS TO 6thST-SLEEPS 9,16047277,Mireille,,78703,30.2733,-97.75658,Entire home/apt,844,1,3,2023-04-23,0.07,7,283,0,
47201344,"N.Austin Oasis-3BR,Pool,Private Office,Domain Area",587285606,Serita,,78727,30.41722,-97.73424,Entire home/apt,392,21,11,2024-08-18,0.25,33,363,1,
47203013,Austin Tx. Esquiste Detached Guest Room,381234150,Joseph,,78728,30.43864,-97.68306,Private room,57,1,11,2024-10-19,0.42,1,166,3,
47216803,Contemporary 3-Bedroom Oasis + Deck & Gym,381336860,Sebastian,,78745,30.2007,-97.79798,Entire home/apt,116,2,22,2024-11-24,0.47,2,68,3,
47228007,Private Room/bath Mins To Airport20 Mins To Tesla,299606671,Dina,,78747,30.14104,-97.76491,Private room,37,10,2,2021-03-03,0.04,25,365,0,
47239274,Central SW Austin 4/2 w/ fenced backyard (30 day),1523587,Dallas,,78749,30.2188,-97.84897,Entire home/apt,452,3,9,2024-10-20,0.21,16,347,1,
47272891,"(hot tub) 7 Bedroom Domain Retreat+2 Homes,Fosball",499072196,Lisa,,78727,30.43732,-97.73402,Entire home/apt,170,2,201,2024-11-29,4.18,8,337,53,
47291879,Home away from home,250591111,Schivona,,78702,30.26508,-97.71717,Private room,60,1,46,2024-11-26,3.23,1,155,40,
47292123,Huge Group Compound | Heart of ATX | Sleeps 41,9796520,Preston,,78741,30.24432,-97.73032,Entire home/apt,1036,3,5,2024-09-22,0.31,5,287,2,
47330115,Architectural Masterpiece w/ Saltwater Pool & Spa,117357531,Austin,,78703,30.29849,-97.7808,Entire home/apt,,5,8,2021-08-27,0.17,1,0,0,
47331054,Modern Designer Condo Close to Downtown Austin!,256882822,Annette,,78703,30.27408,-97.75673,Entire home/apt,104,1,182,2024-12-11,3.82,25,357,37,
47354864,Private room in house on creek with pool,111995585,Ashley,,78745,30.2073,-97.76863,Private room,55,30,1,2024-01-31,0.09,2,359,1,
47355506,Simple Comfy Room,352756512,Jorge,,78757,30.34619,-97.74669,Private room,,1,0,,,1,0,0,
47357269,Urban living near the Domain and Austin FC Stadium,2030557,Gabriel,,78758,30.40319,-97.70846,Entire home/apt,82,90,8,2024-08-17,0.22,1,210,3,
45467121,WM Austin Studio Deluxe,58385754,Kivaan,,78701,30.27189,-97.74847,Entire home/apt,190,2,9,2023-10-02,0.21,3,353,0,
45467226,WM Austin 1BR Condo,58385754,Kivaan,,78701,30.27255,-97.74778,Entire home/apt,217,2,4,2023-03-29,0.09,3,360,0,
45467282,WM Austin 2BR Condo,58385754,Kivaan,,78701,30.27264,-97.74734,Entire home/apt,263,2,2,2023-03-09,0.07,3,351,0,
45468117,"SoCo 1BR suite w pool, king bed, close to Downtown",35817561,Jen And Steven,,78704,30.23107,-97.76527,Entire home/apt,42,1,190,2024-11-22,3.73,61,302,38,
45468626,Stunning new home in East Austin. Close to DT!,367860620,Erind,,78741,30.22883,-97.70299,Entire home/apt,450,3,11,2022-10-24,0.21,1,364,0,
45469731,"KING beds, Work Office, Sauna, Massage Chair &more",188243764,Nick,,78751,30.32012,-97.7292,Entire home/apt,167,2,248,2024-11-19,4.81,1,74,54,
